Accident Number,Date and Time,Number of Motor Vehicles,Number of Injuries,Number of Fatalities,Property Damage,Hit and Run,Collision Type Description,Weather Description,Illumination Description,Street Address,City,State,Precinct,Lat,Long,HarmfulCodes,HarmfulDescriptions,ObjectId,Zip Code,RPA,Weather,IlluACCIDEmination,Collision Type,Reporting Officer,x,y
20180000761,1/1/2018 2:00:00 PM,2,0,0,,N,ANGLE,CLEAR,DAYLIGHT,MURFREESBORO PKE & MOUNTAIN SPRINGS RD,ANTIOCH,TN,SOUTH,36.04784,-86.61205,12,MOTOR VEHICLE IN TRANSPORT,41,37013,8927,21,1,4,591933,-9641609.3026,4307206.0805
20180000765,1/1/2018 2:10:00 PM,3,0,0,,N,Front to Rear,CLEAR,DAYLIGHT,I24 E ENT RAMP & I 24,NASHVILLE,TN,CENTRA,36.16484,-86.76433,12,MOTOR VEHICLE IN TRANSPORT,42,37213,1007,21,1,11,226673,-9658561.0346,4323326.8717
20180000805,1/1/2018 6:00:00 AM,1,0,0,Y,Y,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,UNKNOWN,UNKNOWN,BRILEY PKWY S EXT RAMP & BRILEY PKWYS,NASHVILLE,TN,HERMIT,36.11858,-86.7002,29,LUMINAIRE/LIGHT SUPPORT,43,37214,9209,99,9,0,226207,-9651422.1157,4316950.0883
20180000814,1/1/2018 6:00:00 AM,2,0,0,Y,Y,ANGLE,UNKNOWN,UNKNOWN,DRUID DR & HARTFORD DR,NASHVILLE,TN,SOUTH,36.11137,-86.73412,14,PARKED MOTOR VEHICLE,44,37211,8333,99,9,4,633367,-9655198.0728,4315956.5529
20180000875,1/1/2018 3:26:00 PM,3,1,0,,Y,ANGLE,CLEAR,DAYLIGHT,PEBBLE CREEK DR & CANYON RIDGE CT,ANTIOCH,TN,SOUTH,36.07104,-86.64856,12;14,MOTOR VEHICLE IN TRANSPORT;PARKED MOTOR VEHICLE,45,37013,8861,21,1,4,474557,-9645673.5772,4310400.7744
20180000904,1/1/2018 3:15:00 PM,1,0,0,Y,N,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,CLEAR,DAYLIGHT,4TH AVS & CARNEY ST,NASHVILLE,TN,SOUTH,36.13843,-86.76221,38;41,FENCE;SHRUBBERY,46,37210,8127,21,1,0,223502,-9658325.0373,4319685.8827
20180000938,1/1/2018 3:45:00 PM,1,0,0,Y,N,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,CLEAR,DAYLIGHT,FRANKLIN LIMESTONE RD & MULLEN CIR,NASHVILLE,TN,SOUTH,36.07913,-86.66923,32;34,CULVERT;DITCH,47,37217,8853,21,1,0,716886,-9647974.551,4311515.0078
20180000963,1/1/2018 6:15:00 PM,2,0,0,,N,,,,RICHLAND AV & BOWLING AV,NASHVILLE,TN,WEST,36.13608,-86.82527,,,48,37205,5249,,,,262766,-9665344.8444,4319361.9616
20180001120,1/1/2018 6:13:00 PM,2,0,0,,Y,ANGLE,CLEAR,DAYLIGHT,DOUGLAS AV & DICKERSON PKE,NASHVILLE,TN,EAST,36.1944,-86.77235,12,MOTOR VEHICLE IN TRANSPORT,49,37207,1911,21,1,4,256428,-9659453.8169,4327403.5877
20180001208,1/1/2018 7:30:00 PM,2,0,0,,N,ANGLE,CLEAR,DAYLIGHT,APACHE TRL & VILLAS OF BAVARIA PVTDR,NASHVILLE,TN,SOUTH,36.06678,-86.68775,12,MOTOR VEHICLE IN TRANSPORT,50,37211,8709,21,1,4,716886,-9650036.188,4309814.0919
20180001219,1/1/2018 7:35:00 PM,2,0,0,,N,,,,FRANKLIN PKE & OLD HICKORY BLVD,BRENTWOOD,TN,MIDTOW,36.03766,-86.78651,,,51,37027,7111,,,,420059,-9661030.1009,4305804.5681
